source_month,member_casual,count
2025-01,member,225448
2025-01,casual,60283
2025-02,member,287144
2025-02,casual,81669
2025-03,member,438203
2025-03,casual,188554
2025-04,member,466007
2025-04,casual,198192
2025-05,member,480858
2025-05,casual,210869
2025-06,member,480291
2025-06,casual,211329
2025-07,member,488137
2025-07,casual,217206
2025-08,member,420720
2025-08,casual,218268
2025-09,member,438489
2025-09,casual,186546
2025-10,member,441665
2025-10,casual,183204
2025-11,member,331312
2025-11,casual,114982
2025-12,member,232300
2025-12,casual,60971
