source_month,rideable_type,count
2025-01,electric_bike,206781
2025-01,classic_bike,78950
2025-02,electric_bike,256407
2025-02,classic_bike,112406
2025-03,electric_bike,391714
2025-03,classic_bike,235043
2025-04,electric_bike,398926
2025-04,classic_bike,265273
2025-05,electric_bike,423698
2025-05,classic_bike,268029
2025-06,electric_bike,417566
2025-06,classic_bike,274054
2025-07,electric_bike,438893
2025-07,classic_bike,266450
2025-08,electric_bike,390223
2025-08,classic_bike,248765
2025-09,electric_bike,400936
2025-09,classic_bike,224099
2025-10,electric_bike,410268
2025-10,classic_bike,214601
2025-11,electric_bike,301568
2025-11,classic_bike,144726
2025-12,electric_bike,212921
2025-12,classic_bike,80350
